cs_ID,respo_cs,nom_cs,code_cs,semestre,annee,jacq
0,GOSSIAUX Pol Bernard,IGA : Pratique de l'ingénierie,IGA,S2,2015,4
1,GOSSIAUX Pol Bernard,IGB : Projet d'ingénierie,IGB,S2,2015,4
2,RAUCH Carl ; LEMOULT Bernard ; ROUSSEAU Patricia ; MONY Loïc,interpA : Agir en équipe,interpA,S1,2015,0
3,LEMOULT Bernard ; GOSSIAUX Pol Bernard ; DEVIGNE Michel ; MONY Loïc,interpA : Agir en équipe,interpA,S2,2015,4
4,EVANS Stephanie ; HADDADI Farida ; DEVIGNE Michel ; ROUSSEAU Patricia,interpB : Capacité de communication,interpB,S1,2015,0
5,HADDADI Farida ; ROUSSEAU Patricia,interpB : Capacité de communication,interpB,S2,2015,4
6,MONY Loïc,intraA : La personne face à elle-même,intraA,S1,2015,0
7,MONY Loïc,intraA : La personne face à elle-même,intraA,S2,2015,4
8,MONY Loïc,intraB : La personne face aux autres,intraB,S1,2015,0
9,MONY Loïc,intraB : La personne face aux autres,intraB,S2,2015,4
10,DEVIGNE Michel,intraC : La personne dans son environnement,intraC,S2,2015,4
11,LEMOULT Bernard ; TABIOU Safouana ; DEBRUYNE Romuald ; SUBRENAT Albert ; THERS Dominique ; GOSSIAUX Pol Bernard ; DEVIGNE Michel ; ROUSSEAU Patricia,STA : Connaissance et savoir,STA,S1,2015,12
12,LEMOULT Bernard ; TABIOU Safouana ; DOUENCE Remi ; YAGOUBI Mohamed ; DEVIGNE Michel ; BATIGNE Guillaume ; ROUSSEAU Patricia,STA : Connaissance et savoir,STA,S2,2015,16
13,RAUCH Carl ; DEBRUYNE Romuald ; SUBRENAT Albert ; THERS Dominique ; GOSSIAUX Pol Bernard ; DEVIGNE Michel,STB : Mise en oeuvre des connaissances et savoir,STB,S1,2015,12
14,BATIGNE Guillaume,STB : Mise en oeuvre des connaissances et savoir,STB,S2,2015,4
15,RAUCH Carl ; DEBRUYNE Romuald ; GOSSIAUX Pol Bernard,STC : Recherche et expérimentation,STC,S1,2015,4
16,DOUENCE Remi ; GOSSIAUX Pol Bernard ; YAGOUBI Mohamed ; BATIGNE Guillaume,STC : Recherche et expérimentation,STC,S2,2015,12
17,RAUCH Carl ; LEMOULT Bernard ; ROUSSEAU Patricia ; MONY Loïc,interpA : Agir en équipe,interpA,S1,2016,0
18,LEMOULT Bernard ; GOSSIAUX Pol Bernard ; DEVIGNE Michel ; MONY Loïc,interpA : Agir en équipe,interpA,S2,2016,4
19,EVANS Stephanie ; HADDADI Farida ; DEVIGNE Michel ; ROUSSEAU Patricia,interpB : Capacité de communication,interpB,S1,2016,0
20,HADDADI Farida ; ROUSSEAU Patricia ; MACKENZIE Colin,interpB : Capacité de communication,interpB,S2,2016,4
21,MONY Loïc,intraA : La personne face à elle-même,intraA,S1,2016,0
22,MONY Loïc,intraA : La personne face à elle-même,intraA,S2,2016,4
23,MONY Loïc,intraB : La personne face aux autres,intraB,S1,2016,0
24,MONY Loïc,intraB : La personne face aux autres,intraB,S2,2016,4
25,DEVIGNE Michel ; DOUENCE Remi ; GOSSIAUX Pol Bernard ; LEMOULT Bernard ; ROUSSEAU Patricia ; SUBRENAT Albert ; TABIOU Safouana ; THERS Dominique ; CHABERT Gilles,STA : Connaissance et savoir,STA,S1,2016,12
26,BATIGNE Guillaume ; DEVIGNE Michel ; LEMOULT Bernard ; ROUSSEAU Patricia ; TABIOU Safouana ; YAGOUBI Mohamed ; DEBRUYNE Romuald,STA : Connaissance et savoir,STA,S2,2016,12
27,DEVIGNE Michel ; DOUENCE Remi ; GOSSIAUX Pol Bernard ; RAUCH Carl ; SUBRENAT Albert ; THERS Dominique ; CHABERT Gilles,STB : Mise en oeuvre des connaissances et savoir,STB,S1,2016,12
28,BATIGNE Guillaume,STB : Mise en oeuvre des connaissances et savoir,STB,S2,2016,4
29,GOSSIAUX Pol Bernard ; RAUCH Carl ; CHABERT Gilles,STC : Recherche et expérimentation,STC,S1,2016,4
30,BATIGNE Guillaume ; GOSSIAUX Pol Bernard ; YAGOUBI Mohamed ; DEBRUYNE Romuald,STC : Recherche et expérimentation,STC,S2,2016,12
31,HADDADI Farida ; MACKENZIE Colin ; ROUSSEAU Patricia,interpB : Capacité de communication,interpB,S2,2017,4
32,LEMOULT Bernard ; TABIOU Safouana ; DOUENCE Remi ; SUBRENAT Albert ; THERS Dominique ; GOSSIAUX Pol Bernard ; DEVIGNE Michel ; ROUSSEAU Patricia ; CHABERT Gilles,STA : Connaissance et savoir,STA,S1,2017,8
33,LEMOULT Bernard ; TABIOU Safouana ; DEBRUYNE Romuald ; YAGOUBI Mohamed ; DEVIGNE Michel ; BATIGNE Guillaume ; ROUSSEAU Patricia,STA : Connaissance et savoir,STA,S2,2017,8
34,RAUCH Carl ; DOUENCE Remi ; SUBRENAT Albert ; THERS Dominique ; GOSSIAUX Pol Bernard ; DEVIGNE Michel ; CHABERT Gilles,STB : Mise en oeuvre des connaissances et savoir,STB,S1,2017,8
35,BATIGNE Guillaume,STB : Mise en oeuvre des connaissances et savoir,STB,S2,2017,8
36,RAUCH Carl ; GOSSIAUX Pol Bernard ; CHABERT Gilles,STC : Recherche et expérimentation,STC,S1,2017,4
37,DEBRUYNE Romuald ; GOSSIAUX Pol Bernard ; YAGOUBI Mohamed ; BATIGNE Guillaume,STC : Recherche et expérimentation,STC,S2,2017,4
