std_ID,niveau_ID,nb_Nv_NA
0,1,1
0,2,0
1,0,0
1,1,0
1,2,0
2,0,0
2,1,0
2,2,0
3,1,1
3,2,1
4,1,2
4,2,1
5,0,0
5,1,0
5,2,2
6,0,0
6,1,0
6,2,0
7,1,1
7,2,0
8,0,0
8,1,0
8,2,1
9,0,0
9,1,0
9,2,0
10,0,0
10,1,0
10,2,1
11,0,0
11,1,0
11,2,0
12,0,0
12,1,0
12,2,0
13,0,0
13,1,0
13,2,1
14,0,0
14,1,0
14,2,0
15,1,1
15,2,0
16,0,0
16,1,0
16,2,0
17,0,0
17,1,0
17,2,1
18,0,0
18,1,0
18,2,0
19,1,2
19,2,0
20,1,1
20,2,1
21,0,0
21,1,0
21,2,0
22,0,0
22,1,0
22,2,0
23,0,0
23,1,0
23,2,0
24,0,0
24,1,0
24,2,0
25,0,0
25,1,0
25,2,0
26,1,1
26,2,0
27,1,1
27,2,0
28,1,1
28,2,0
29,1,1
29,2,0
30,0,0
30,1,0
30,2,0
31,0,0
31,1,0
31,2,0
32,0,0
32,1,0
32,2,0
33,0,0
33,1,0
33,2,0
34,0,0
34,1,0
34,2,0
35,0,0
35,1,0
35,2,0
36,0,0
36,1,0
36,2,0
37,0,0
37,1,0
37,2,0
38,0,0
38,1,0
38,2,0
39,1,1
39,2,0
40,1,1
40,2,1
41,1,1
41,2,0
42,1,1
42,2,0
43,1,1
43,2,0
44,0,0
44,1,0
44,2,0
45,0,0
45,1,0
45,2,0
46,1,0
46,2,0
47,1,1
47,2,0
48,0,0
48,1,0
48,2,0
49,0,0
49,1,0
49,2,0
50,0,0
50,1,0
50,2,0
51,0,0
51,1,0
51,2,2
52,0,0
52,1,0
52,2,0
53,0,0
53,1,0
53,2,0
54,0,0
54,1,0
54,2,0
55,0,0
55,1,0
55,2,0
56,0,0
56,1,0
56,2,0
57,0,0
57,1,0
57,2,0
58,0,0
58,1,1
58,2,0
59,0,0
59,1,0
59,2,0
60,0,0
60,1,0
60,2,0
61,1,1
61,2,0
62,1,1
62,2,0
63,0,0
63,1,0
63,2,0
64,1,1
64,2,0
65,0,0
65,1,0
65,2,1
66,0,0
66,1,0
66,2,0
67,0,0
67,1,0
67,2,0
68,0,0
68,1,0
68,2,0
69,0,0
69,1,0
69,2,0
70,1,0
70,2,0
71,0,0
71,1,0
71,2,1
72,0,0
72,1,0
72,2,0
73,0,0
73,1,0
73,2,0
74,0,0
74,1,0
74,2,0
75,0,0
75,1,0
75,2,0
76,0,0
76,1,0
76,2,0
77,0,0
77,1,0
77,2,0
78,1,1
78,2,0
79,0,0
79,1,0
79,2,0
80,0,0
80,1,0
80,2,0
81,0,0
81,1,0
81,2,0
82,0,0
82,1,0
82,2,0
83,0,0
83,1,0
83,2,1
84,0,0
84,1,0
84,2,0
85,0,0
85,1,0
85,2,0
86,0,0
86,1,0
86,2,0
87,1,1
87,2,0
88,0,0
88,1,0
88,2,0
89,0,0
89,1,0
89,2,0
90,0,0
90,1,0
90,2,0
91,0,0
91,1,0
91,2,0
92,0,0
92,1,0
92,2,0
93,0,0
93,1,0
93,2,0
94,0,0
94,1,0
94,2,0
95,0,0
95,1,0
95,2,0
96,1,1
96,2,0
97,1,1
97,2,0
98,1,1
98,2,0
99,0,0
99,1,0
99,2,0
100,0,0
100,1,0
100,2,1
101,1,1
101,2,1
102,1,1
102,2,0
103,1,0
103,2,0
104,0,0
104,1,0
104,2,0
105,0,0
105,1,0
105,2,0
106,1,1
106,2,0
107,1,0
107,2,2
108,0,0
108,1,0
108,2,0
109,0,0
109,1,0
109,2,0
110,1,1
110,2,0
111,0,0
111,1,0
111,2,0
112,1,0
112,2,0
113,1,1
113,2,0
114,0,0
114,1,0
114,2,1
115,0,0
115,1,1
115,2,1
116,0,0
116,1,0
116,2,0
117,1,1
117,2,0
118,1,1
118,2,0
119,1,0
119,2,0
120,1,0
120,2,1
121,1,1
121,2,0
122,1,1
122,2,0
123,0,0
123,1,0
123,2,1
124,0,0
124,1,1
124,2,0
125,0,0
125,1,0
125,2,0
126,0,0
126,1,0
126,2,0
127,1,1
127,2,0
128,0,0
128,1,0
128,2,0
129,1,1
129,2,0
130,1,0
130,2,1
131,1,1
131,2,0
132,1,1
132,2,0
133,0,0
133,1,0
133,2,0
134,1,1
134,2,0
135,0,0
135,1,0
135,2,0
136,0,0
136,1,0
136,2,0
137,1,1
137,2,0
138,0,0
138,1,0
138,2,1
139,1,1
139,2,0
140,1,1
140,2,0
141,0,0
141,1,0
141,2,0
142,1,1
142,2,0
143,0,0
143,1,0
143,2,0
144,0,0
144,1,0
144,2,0
145,1,1
145,2,0
146,0,0
146,1,0
146,2,0
147,1,1
147,2,0
148,1,1
148,2,2
149,0,0
149,1,0
149,2,0
150,0,0
150,1,0
150,2,0
151,1,1
151,2,0
152,1,1
152,2,0
153,0,0
153,1,0
153,2,1
154,1,1
154,2,0
155,0,0
155,1,0
155,2,0
156,0,0
156,1,1
156,2,4
157,0,0
157,1,0
157,2,1
158,0,0
158,1,0
158,2,0
159,0,0
159,1,0
159,2,0
160,0,0
160,1,0
160,2,0
161,0,0
161,1,0
161,2,0
162,0,0
162,1,0
162,2,0
163,0,0
163,1,0
163,2,0
164,1,1
164,2,1
165,1,1
165,2,0
166,1,1
166,2,0
167,0,0
167,1,0
167,2,0
168,1,0
168,2,0
169,0,0
169,1,0
169,2,0
170,1,1
170,2,0
171,0,0
171,1,0
171,2,0
172,1,1
172,2,0
173,1,1
173,2,0
174,0,0
174,1,0
174,2,0
175,1,1
175,2,0
176,1,0
176,2,0
177,1,1
177,2,0
178,1,2
178,2,2
179,0,0
179,1,0
179,2,0
180,0,0
180,1,0
180,2,0
181,1,1
181,2,0
182,0,0
182,1,1
182,2,3
183,0,0
183,1,0
183,2,0
184,0,0
184,1,0
184,2,1
185,1,1
185,2,0
186,0,0
186,1,0
186,2,0
187,0,0
187,1,0
187,2,0
188,0,0
188,1,0
188,2,0
189,0,0
189,1,0
189,2,0
190,0,0
190,1,0
190,2,2
191,0,0
191,1,0
191,2,0
192,0,0
192,1,0
192,2,0
193,1,1
193,2,0
194,0,0
194,1,0
194,2,0
195,0,0
195,1,1
195,2,0
196,0,0
196,1,0
196,2,0
197,0,0
197,1,1
197,2,0
198,0,0
198,1,1
198,2,1
199,0,0
199,1,2
199,2,1
200,0,0
200,1,1
200,2,0
201,0,0
201,1,0
201,2,1
202,0,0
202,1,0
202,2,0
203,0,0
203,1,2
203,2,1
204,0,0
204,1,2
204,2,0
205,0,0
205,1,1
205,2,0
206,0,0
206,1,2
206,2,1
207,0,0
207,1,2
207,2,0
208,0,0
208,1,2
208,2,0
209,0,0
209,1,2
209,2,0
210,0,0
210,1,1
210,2,0
211,0,0
211,1,2
211,2,1
212,0,0
212,1,0
212,2,1
213,0,0
213,1,0
213,2,0
214,0,0
214,1,1
214,2,0
215,0,0
215,1,2
215,2,0
216,0,0
216,1,0
216,2,0
217,0,0
217,1,1
217,2,0
218,0,0
218,1,1
218,2,0
219,0,0
219,1,1
219,2,0
220,0,0
220,1,0
220,2,1
221,0,0
221,1,0
221,2,0
222,0,0
222,1,2
222,2,1
223,0,0
