std_ID,niveau_ID,percentage_ID,nb_Nv_NA
0,1,0,1
0,2,100,7
1,0,0,1
1,1,88,1
1,2,100,5
2,0,0,1
2,2,100,6
3,0,0,3
3,2,100,5
4,0,0,3
4,0,75,1
4,1,81,1
4,1,83,1
4,2,100,2
5,0,0,1
5,0,67,1
5,1,81,1
5,2,100,3
6,1,50,1
6,2,100,5
7,1,56,1
7,2,100,6
8,0,0,2
8,2,100,5
9,2,100,6
10,1,0,1
10,1,75,1
10,2,100,4
11,1,81,1
11,2,100,5
12,2,100,6
13,0,0,1
13,1,81,1
13,2,100,4
14,2,100,6
15,0,0,2
15,1,25,1
15,2,100,5
16,0,0,1
16,1,81,1
16,2,100,5
17,0,33,1
17,1,50,1
17,1,67,1
17,2,100,3
18,1,81,1
18,2,100,5
19,0,0,4
19,1,75,1
19,2,100,4
20,0,0,1
20,2,100,6
21,2,100,6
22,1,50,1
22,2,100,5
23,1,81,1
23,2,100,5
24,1,50,1
24,2,100,5
25,1,75,1
25,2,100,5
26,1,0,1
26,2,100,6
27,1,75,1
27,2,100,6
28,0,0,1
28,2,100,6
29,0,0,1
29,2,100,7
30,0,0,1
30,1,81,1
30,2,100,5
31,1,0,1
31,1,88,1
31,2,100,5
32,1,81,1
32,2,100,5
33,1,75,1
33,2,100,5
34,1,75,1
34,2,100,5
35,2,100,6
36,0,0,1
36,1,50,1
36,2,100,5
37,0,0,1
37,1,75,1
37,2,100,5
38,2,100,6
39,1,0,1
39,1,50,1
39,2,100,5
40,0,0,1
40,1,88,1
40,2,100,5
41,1,75,1
41,2,100,6
42,1,0,1
42,1,75,1
42,2,100,5
43,1,88,1
43,2,100,6
44,1,0,1
44,2,100,6
45,2,100,6
46,0,0,1
46,1,25,1
46,2,100,7
47,0,0,3
47,1,88,1
47,2,100,5
48,0,0,1
48,2,100,6
49,2,100,6
50,2,100,6
51,0,0,2
51,0,33,1
51,1,50,1
51,1,67,1
51,2,100,2
52,1,75,1
52,2,100,5
53,1,75,1
53,2,100,5
54,1,0,1
54,1,75,1
54,2,100,5
55,2,100,6
56,1,81,1
56,2,100,5
57,0,0,1
57,2,100,6
58,0,0,2
58,1,81,1
58,2,100,4
59,1,75,1
59,2,100,5
60,2,100,6
61,1,0,1
61,2,100,6
62,2,100,7
63,2,100,6
64,1,56,1
64,2,100,6
65,0,0,1
65,1,88,1
65,2,100,4
66,0,0,1
66,2,100,6
67,2,100,6
68,0,0,1
68,2,100,6
69,1,88,1
69,2,100,5
70,2,100,8
71,0,0,1
71,0,75,1
71,1,81,1
71,2,100,4
72,1,50,1
72,2,100,5
73,1,75,1
73,2,100,5
74,0,0,1
74,2,100,6
75,2,100,6
76,1,75,1
76,2,100,5
77,1,75,1
77,2,100,5
78,1,81,1
78,2,100,6
79,2,100,6
80,2,100,6
81,2,100,6
82,0,0,1
82,1,81,1
82,2,100,5
83,1,0,1
83,1,50,1
83,2,100,4
84,1,56,1
84,2,100,5
85,2,100,6
86,2,100,6
87,1,88,1
87,2,100,6
88,0,0,1
88,1,81,1
88,2,100,5
89,1,50,1
89,2,100,5
90,1,81,1
90,2,100,5
91,0,0,1
91,1,25,1
91,2,100,5
92,1,81,1
92,2,100,5
93,1,62,1
93,2,100,5
94,2,100,6
95,0,0,1
95,1,75,1
95,2,100,5
96,1,0,1
96,1,81,1
96,2,100,5
97,0,0,1
97,2,100,7
98,1,0,1
98,1,75,1
98,2,100,5
99,1,75,1
99,2,100,5
100,0,0,1
100,0,33,1
100,1,50,1
100,2,100,4
101,0,0,1
101,1,0,1
101,1,50,1
101,1,67,1
101,2,100,4
102,1,0,1
102,1,50,1
102,2,100,5
103,1,0,1
103,2,100,8
104,0,0,1
104,0,33,1
104,2,100,5
105,2,100,6
106,1,75,1
106,2,100,7
107,0,0,1
107,0,42,1
107,0,67,1
107,1,0,2
107,2,100,5
108,0,0,1
108,2,100,6
109,0,0,1
109,1,75,1
109,2,100,5
110,0,0,1
110,2,100,7
111,0,0,1
111,1,50,1
111,2,100,5
112,1,0,2
112,1,81,1
112,2,100,5
113,2,100,7
114,1,67,1
114,1,81,1
114,2,100,4
115,0,0,2
115,1,88,1
115,2,100,3
116,1,88,1
116,2,100,5
117,1,81,1
117,2,100,6
118,1,56,1
118,2,100,6
119,1,0,3
119,2,100,7
120,0,0,2
120,1,0,2
120,2,100,5
121,0,0,1
121,1,0,1
121,1,50,1
121,2,100,5
122,0,0,2
122,2,100,6
123,0,0,1
123,0,75,1
123,1,67,1
123,1,75,1
123,2,100,3
124,0,0,2
124,2,100,5
125,0,0,1
125,2,100,6
126,2,100,6
127,0,0,1
127,1,0,1
127,1,75,1
127,2,100,5
128,0,0,1
128,1,50,1
128,2,100,5
129,1,0,1
129,2,100,7
130,0,0,1
130,1,0,1
130,1,81,1
130,2,100,5
131,0,0,1
131,2,100,7
