std_ID,code_cs_ID,nbre_jetons_niveau1_acquis,nbre_jetons_niveau2_acquis,niveau_atteint_Cs,ratio_jeton_niv_de_0_à_1,ratio_jeton_niv_de_1_à_2,niv_max_possible
0,0,0,4,2,100,100,2
1,0,0,4,2,100,100,2
2,0,0,4,2,100,100,2
3,0,0,0,0,0,0,2
4,0,0,4,2,100,100,2
5,0,0,4,2,100,100,2
6,0,0,4,2,100,100,2
7,0,0,4,2,100,100,2
8,0,0,0,0,0,0,2
9,0,0,4,2,100,100,2
10,0,0,4,2,100,100,2
11,0,0,4,2,100,100,2
12,0,0,4,2,100,100,2
13,0,0,4,2,100,100,2
14,0,0,4,2,100,100,2
15,0,0,4,2,100,100,2
16,0,0,4,2,100,100,2
17,0,0,4,2,100,100,2
18,0,0,4,2,100,100,2
19,0,0,4,2,100,100,2
20,0,0,4,2,100,100,2
21,0,0,4,2,100,100,2
22,0,0,4,2,100,100,2
23,0,0,4,2,100,100,2
24,0,0,4,2,100,100,2
25,0,0,4,2,100,100,2
26,0,0,4,2,100,100,2
27,0,0,4,2,100,100,2
28,0,0,4,2,100,100,2
29,0,0,4,2,100,100,2
30,0,0,4,2,100,100,2
31,0,0,4,2,100,100,2
32,0,0,4,2,100,100,2
33,0,0,4,2,100,100,2
34,0,0,4,2,100,100,2
35,0,0,4,2,100,100,2
36,0,0,4,2,100,100,2
37,0,0,4,2,100,100,2
38,0,0,4,2,100,100,2
39,0,0,4,2,100,100,2
40,0,0,0,0,0,0,2
41,0,0,4,2,100,100,2
42,0,0,4,2,100,100,2
43,0,0,4,2,100,100,2
44,0,0,4,2,100,100,2
45,0,0,4,2,100,100,2
46,0,0,4,2,100,100,2
47,0,0,4,2,100,100,2
48,0,0,4,2,100,100,2
49,0,0,4,2,100,100,2
50,0,0,4,2,100,100,2
51,0,0,4,2,100,100,2
52,0,0,4,2,100,100,2
53,0,0,4,2,100,100,2
54,0,0,4,2,100,100,2
55,0,0,4,2,100,100,2
56,0,0,4,2,100,100,2
57,0,0,4,2,100,100,2
58,0,0,4,2,100,100,2
59,0,0,4,2,100,100,2
60,0,0,4,2,100,100,2
61,0,0,4,2,100,100,2
62,0,0,4,2,100,100,2
63,0,0,4,2,100,100,2
64,0,0,4,2,100,100,2
65,0,0,0,0,0,0,2
66,0,0,4,2,100,100,2
67,0,0,4,2,100,100,2
68,0,0,4,2,100,100,2
69,0,0,4,2,100,100,2
70,0,0,4,2,100,100,2
71,0,0,4,2,100,100,2
72,0,0,4,2,100,100,2
73,0,0,4,2,100,100,2
74,0,0,4,2,100,100,2
75,0,0,4,2,100,100,2
76,0,0,4,2,100,100,2
77,0,0,4,2,100,100,2
78,0,0,4,2,100,100,2
79,0,0,4,2,100,100,2
80,0,0,4,2,100,100,2
81,0,0,4,2,100,100,2
82,0,0,4,2,100,100,2
83,0,0,4,2,100,100,2
84,0,0,4,2,100,100,2
85,0,0,4,2,100,100,2
86,0,0,4,2,100,100,2
87,0,0,4,2,100,100,2
88,0,0,4,2,100,100,2
89,0,0,4,2,100,100,2
90,0,0,4,2,100,100,2
91,0,0,4,2,100,100,2
92,0,0,4,2,100,100,2
93,0,0,4,2,100,100,2
94,0,0,4,2,100,100,2
95,0,0,4,2,100,100,2
96,0,0,4,2,100,100,2
97,0,0,4,2,100,100,2
98,0,0,4,2,100,100,2
99,0,0,4,2,100,100,2
100,0,0,4,2,100,100,2
101,0,0,4,2,100,100,2
102,0,0,4,2,100,100,2
103,0,0,4,2,100,100,2
104,0,0,4,2,100,100,2
105,0,0,4,2,100,100,2
106,0,0,4,2,100,100,2
107,0,0,4,2,100,100,2
108,0,0,4,2,100,100,2
109,0,0,4,2,100,100,2
110,0,0,4,2,100,100,2
111,0,0,4,2,100,100,2
112,0,0,4,2,100,100,2
113,0,0,4,2,100,100,2
114,0,0,4,2,100,100,2
115,0,0,4,2,100,100,2
116,0,0,4,2,100,100,2
117,0,0,4,2,100,100,2
118,0,0,4,2,100,100,2
119,0,0,4,2,100,100,2
