,std_ID,cpt_grade_ID,cs_ID,cg_ID,lieu_ID,time_id,moyenne
0,0,1,0,0,0,0,10.0
1,0,1,1,0,0,0,10.0
2,0,1,3,1,0,0,10.0
3,0,4,4,1,0,1,10.0
4,0,4,8,2,0,0,10.0
5,0,2,9,3,0,1,10.0
6,0,2,10,3,0,0,12.0
7,0,5,11,3,0,1,7.5
8,0,0,12,3,0,0,10.0
9,0,5,13,3,0,1,0.0
10,0,2,14,3,0,0,10.0
11,1,1,0,0,0,0,10.0
12,1,1,1,0,0,0,10.0
13,1,1,3,1,0,0,10.0
14,1,5,5,1,0,0,0.0
15,1,0,9,3,0,1,16.667
16,1,1,10,3,0,0,12.5
17,1,2,11,3,0,1,10.0
18,1,0,12,3,0,0,10.0
19,1,0,13,3,0,1,20.0
20,1,1,14,3,0,0,12.5
21,2,1,0,0,0,0,10.0
22,2,1,1,0,0,0,10.0
23,2,1,3,1,0,0,10.0
24,2,5,5,1,0,0,0.0
25,2,5,9,3,0,1,6.667000000000001
26,2,1,10,3,0,0,12.5
27,2,5,11,3,0,1,3.333
28,2,0,12,3,0,0,10.0
29,2,5,13,3,0,1,0.0
30,2,2,14,3,0,0,10.0
31,3,5,0,0,0,0,0.0
32,3,1,1,0,0,0,10.0
33,3,1,3,1,0,0,10.0
34,3,5,4,1,0,1,0.0
35,3,5,7,2,0,0,0.0
36,3,2,9,3,0,1,10.0
37,3,2,10,3,0,0,10.0
38,3,2,11,3,0,1,10.0
39,3,0,12,3,0,0,10.0
40,3,5,13,3,0,1,0.0
41,3,2,14,3,0,0,10.0
42,4,1,0,0,0,0,10.0
43,4,1,1,0,0,0,10.0
44,4,5,3,1,0,0,0.0
45,4,5,5,1,0,0,0.0
46,4,5,7,2,0,0,0.0
47,4,1,9,3,0,1,13.333
48,4,2,10,3,0,0,10.0
49,4,2,11,3,0,1,10.0
50,4,5,12,3,0,0,0.0
51,4,0,13,3,0,1,20.0
52,4,2,14,3,0,0,10.0
53,5,1,0,0,0,0,10.0
54,5,5,1,0,0,0,0.0
55,5,1,3,1,0,0,10.0
56,5,5,9,3,0,1,6.667000000000001
57,5,2,10,3,0,0,10.0
58,5,5,11,3,0,1,6.667000000000001
59,5,5,12,3,0,0,0.0
60,5,5,13,3,0,1,0.0
61,5,5,14,3,0,0,7.5
62,6,1,0,0,0,0,10.0
63,6,0,1,0,0,0,20.0
64,6,0,2,1,0,1,20.0
65,6,0,3,1,0,0,20.0
66,6,2,9,3,0,1,10.0
67,6,5,10,3,0,0,5.0
68,6,2,11,3,0,1,10.0
