cs_ID,uv_ID,niveau_CS,nb_jetons
0,0,2,4
1,0,2,4
2,1,1,4
3,0,2,4
3,2,2,4
3,3,2,4
4,4,1,4
4,5,1,4
4,6,1,4
5,7,2,4
5,8,2,4
5,9,2,4
6,1,1,4
7,10,2,4
8,1,1,4
9,10,2,4
10,11,2,4
11,12,1,4
11,13,1,4
11,14,1,4
11,15,1,4
12,16,2,4
12,2,2,4
12,17,2,4
12,18,2,4
12,19,2,4
13,12,1,4
13,13,1,4
13,14,1,4
13,15,1,4
14,17,2,4
15,20,1,4
16,16,2,4
16,17,2,4
16,18,2,4
16,21,2,4
17,22,1,4
18,23,2,4
18,24,2,4
19,25,1,4
19,26,1,4
20,27,2,4
20,28,2,4
20,29,2,4
21,22,1,4
22,30,2,4
23,22,1,4
24,30,2,4
25,31,1,4
25,32,1,4
25,33,1,4
26,34,2,4
26,35,2,4
26,36,2,4
26,37,2,4
27,31,1,4
27,32,1,4
27,38,1,4
28,35,2,4
29,32,1,4
30,34,2,4
30,35,2,4
30,39,2,4
31,40,2,4
31,41,2,4
31,42,2,4
32,43,1,4
32,44,1,4
33,45,2,4
33,46,2,4
33,47,2,4
34,43,1,4
34,44,1,4
35,48,2,4
36,44,1,4
37,45,2,4
37,46,2,4
37,47,2,4
